guid,title,description,link
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20740',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20740'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC6',"b'amulet, leaf'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC6'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20838',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20838'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC42878',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC42878'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20832',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20832'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC42937',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC42937'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC469',b'pendant',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC469'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43184',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43184'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1368',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1368'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC37321',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC37321'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126381',b'dish',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126381'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC38890',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC38890'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20742',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20742'
b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72863',"b'Cap badge, Blue Star Line'",b'CultureGrid',b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72863'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_2012_00040',b'Blue',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_2012_00040'
b'https://www.europeana.eu/item/2064107/Museu_ProvidedCHO_Nottingham_City_Museums_and_Galleries_BLDIDCT031963',"b""scarf<'patka'/man's""",b'Museu',b'https://www.europeana.eu/item/2064107/Museu_ProvidedCHO_Nottingham_City_Museums_and_Galleries_BLDIDCT031963'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1369',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1369'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1366',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1366'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1364',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1364'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1363',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1363'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20747',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20747'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_124081',b'dish',b'Abigail Griffith; CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_124081'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20672',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20672'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89288',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89288'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_1986_00141_029',b'Blue beaded evening bag',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_1986_00141_029'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC37323',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC37323'
b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1825673',b'Cup of tea',b'thePictureKitchen / EUFD; PHOTOCONSORTIUM',b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1825673'
b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1825675',b'Food',b'thePictureKitchen / EUFD; PHOTOCONSORTIUM',b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1825675'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20852',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20852'
b'https://www.europeana.eu/item/2048207/europeana_fashion_08063',b'camoscio blu e capretto azzurro',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_08063'
b'https://www.europeana.eu/item/2048207/europeana_fashion_13161',b'blue nubuck and blue embroidery',b'http://www.wikidata.org/entity/Q29017359; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_13161'
b'https://www.europeana.eu/item/2048207/europeana_fashion_13301',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_13301'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89248',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89248'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC632',b'vessels',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC632'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC38904',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC38904'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20847',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20847'
b'https://www.europeana.eu/item/2048207/europeana_fashion_08062',b'camoscio blu e capretto azzurro',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_08062'
b'https://www.europeana.eu/item/2048207/europeana_fashion_10442',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_10442'
b'https://www.europeana.eu/item/2048207/europeana_fashion_11825',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_11825'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89253',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89253'
b'https://www.europeana.eu/item/2048207/europeana_fashion_11826',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_11826'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89276',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89276'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126375',b'plate',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126375'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC992',b'bead',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC992'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC705',b'vessels',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC705'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC633',b'vessels',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC633'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20674',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20674'
b'https://www.europeana.eu/item/2048207/europeana_fashion_05523',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_05523'
b'https://www.europeana.eu/item/2022365/Bristol_Museums__Galleries___Archives_emu_ecatalogue_appliedart_122332',b'dish',b'Louise Powell; CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_Museums__Galleries___Archives_emu_ecatalogue_appliedart_122332'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_127194',b'plate',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_127194'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_124068',b'dish',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_124068'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_124063',b'dish',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_124063'
b'https://www.europeana.eu/item/317/1aecdb96_2d3e_4d44_ae65_6c6a0d80d6e9',b'Tallit',b'Judaica Europeana/Jewish Heritage Network',b'https://www.europeana.eu/item/317/1aecdb96_2d3e_4d44_ae65_6c6a0d80d6e9'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_128600',b'plate',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_128600'
b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72468',b'Royal Naval uniform: pattern 1939',b'CultureGrid',b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72468'
b'https://www.europeana.eu/item/2048207/europeana_fashion_12752',"b'blue kid, blue net and blue cotton'",b'http://www.wikidata.org/entity/Q29049010; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_12752'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC6446',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC6446'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_128598',b'plate',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_128598'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_124083',b'dish',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_124083'
b'https://www.europeana.eu/item/2059210/data_sounds_http___archive_org_download_gutter1993_08_15_flac16_gutter1993_08_15track27_mp3',b'The Blue Drifter',b'Europeana Sounds',b'https://www.europeana.eu/item/2059210/data_sounds_http___archive_org_download_gutter1993_08_15_flac16_gutter1993_08_15track27_mp3'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC26428',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC26428'
b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72467',b'Royal Naval uniform: pattern 1939',b'CultureGrid',b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72467'
b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72469',b'Royal Naval uniform: pattern 1939',b'CultureGrid',b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72469'
b'https://www.europeana.eu/item/2048207/europeana_fashion_05524',b'capretto blu e azzurro',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_05524'
b'https://www.europeana.eu/item/2059210/data_sounds_http___archive_org_download_cubensis2008_03_21_flac16_cubensis2008_03_21_16bit_set1t12_mp3',b'Tangled Up In Blue',b'Europeana Sounds',b'https://www.europeana.eu/item/2059210/data_sounds_http___archive_org_download_cubensis2008_03_21_flac16_cubensis2008_03_21_16bit_set1t12_mp3'
b'https://www.europeana.eu/item/2059516/data_foodanddrink_O86456',"b'Pilgrim flask, fritware, polychrome painted, Turkey (K\xc3\xbctahya), 1750-1775.'",b'Europeana Food and Drink',b'https://www.europeana.eu/item/2059516/data_foodanddrink_O86456'
b'https://www.europeana.eu/item/2064107/Museu_ProvidedCHO_Nottingham_City_Museums_and_Galleries_BLDIDCT162482',b'tunic and trousers (shalwar-kameez) and veil',b'2006; Museu',b'https://www.europeana.eu/item/2064107/Museu_ProvidedCHO_Nottingham_City_Museums_and_Galleries_BLDIDCT162482'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1370',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1370'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_1987_00749_023',b'Nightdress Case',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_1987_00749_023'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC3047',b'jewellery',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC3047'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20794',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20794'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_W191c',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_W191c'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC21087',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC21087'
b'https://www.europeana.eu/item/336/uuid_214f3e74_4d00_58a2_7fee_b3d3efb4e6a5',"b'Food habits of blue sheep, Pseudois nayaur in the Helan Mountains, China'","b'Liu, Zhensheng; Czech digital library/\xc4\x8cesk\xc3\xa1 digit\xc3\xa1ln\xc3\xad knihovna'",b'https://www.europeana.eu/item/336/uuid_214f3e74_4d00_58a2_7fee_b3d3efb4e6a5'
b'https://www.europeana.eu/item/2059513/data_foodanddrink_efd_LGMA_1178',b'cheese counter selection of blue cheese',b'Europeana Food and Drink',b'https://www.europeana.eu/item/2059513/data_foodanddrink_efd_LGMA_1178'
b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72015',b'Royal Naval uniform: pattern 1901',b'CultureGrid',b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72015'
b'https://www.europeana.eu/item/2048207/europeana_fashion_13763',"b'blue, blue and aqua green silk'",b'Loewe; 2006; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_13763'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC61664',b'foundation deposits',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC61664'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_125456',b'plate',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_125456'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC7546',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC7546'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_214433',b'doll (pastimes: toys)',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_214433'
b'https://www.europeana.eu/item/2059513/data_foodanddrink_efd_LGMA_0591',b'soft blue cheese',b'Europeana Food and Drink',b'https://www.europeana.eu/item/2059513/data_foodanddrink_efd_LGMA_0591'
b'https://www.europeana.eu/item/2048207/europeana_fashion_02495',b'blue and blue silk and rope wedge',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_02495'
b'https://www.europeana.eu/item/2048207/europeana_fashion_09030',b'lino azzurro e ricami blu',b'http://www.wikidata.org/entity/Q60556786; 1985; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_09030'
b'https://www.europeana.eu/item/2059210/data_sounds_http___archive_org_download_cubensis2008_03_21_flac16_cubensis2008_03_21_16bit_set1t03_mp3',"b""It's All Over Now Baby Blue""",b'Europeana Sounds',b'https://www.europeana.eu/item/2059210/data_sounds_http___archive_org_download_cubensis2008_03_21_flac16_cubensis2008_03_21_16bit_set1t03_mp3'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89256',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89256'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126756',b'plate',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126756'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC12405',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC12405'
b'https://www.europeana.eu/item/91653/MILI_photo_MILIF002082',"b'Motorcykel, Monark Blue Arrow.'",b'Ok\xc3\xa4nd; Swedish Open Cultural Heritage | K-sams\xc3\xb6k',b'https://www.europeana.eu/item/91653/MILI_photo_MILIF002082'
b'https://www.europeana.eu/item/2048207/europeana_fashion_13249',b'blue linen and blue cotton',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_13249'
b'https://www.europeana.eu/item/2048207/europeana_fashion_13664',b'blue paint and blue mesh',b'http://www.wikidata.org/entity/Q60556786; 1980; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_13664'
b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1826489',b'Blue grapes',b'thePictureKitchen / EUFD; PHOTOCONSORTIUM',b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1826489'
b'https://www.europeana.eu/item/2022365/Bristol_Museums__Galleries___Archives_emu_ecatalogue_appliedart_121688',b'plate',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_Museums__Galleries___Archives_emu_ecatalogue_appliedart_121688'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1371',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1371'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_Temp_0000_00010_020',b'RAOB Medal',b'L. Simpson (London) Limited; AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_Temp_0000_00010_020'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43163',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43163'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43115',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43115'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43019',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43019'
b'https://www.europeana.eu/item/270/resource_document_jhm_museum_M005635',b'[Bloemstilleven]',b'http://data.jck.nl/resource/skos/thespersoon/80; Judaica Europeana/Jewish Heritage Network',b'https://www.europeana.eu/item/270/resource_document_jhm_museum_M005635'
b'https://www.europeana.eu/item/496/LO11330479',b'Night & blue / Paolo Fresu 5et',b'Paolo Fresu Quintet; 2010; CulturaItalia',b'https://www.europeana.eu/item/496/LO11330479'
